New Jersey School Directory
Non-Public Schools
County Code,District Code,School Code,School Name,Address1,Address2,City,State,Zip,Mail Addr1,Mail Addr2,Mail City,Mail State,Mail Zip,Phone,Contact Name,Contact Title,Contact Email,Profit,Pub. Sch. Dist.
"=""26""","=""0776""","=""13H""",A Child's Place,1409 WEST FRONT STREET,,LINCROFT,NJ,"=""07738""",1409 WEST FRONT SCHOOL,,LINCROFT,NJ,"=""07738""","=""(732)747-0141""",Elaine Athanasiou,School Administrator,elaine@achildsplaceschool.com,"FOR-PROFIT"""
"=""26""","=""0743""","=""83G""",Abc Spectrum Preschool,78 Millhurst RD,,MANALAPAN,NJ,"=""07726""",PO Box 41,,TENNENT,NJ,"=""07763""","=""7329957712""",Catherine G Ahlers," Director",abcdcathy@verizon.net,"FOR-PROFIT"""
"=""04""","=""0038""","=""36A""",Ability School Inc,75 KNICKERBOCKER ROAD,,ENGLEWOOD,NJ,"=""07631""",75 KNICKERBOCKER ROAD,,ENGLEWOOD,NJ,"=""07631""","=""(201)871-8808""",JOAN MARRAZZO,HEADMISTRESS,jmarrazzo@abilityschoolnj.org,"NOT-FOR-PROFIT"""
"=""14""","=""0397""","=""65D""",Abundant Life Academy,390 WASHINGTON AVENUE,,NUTLEY,NJ,"=""07110""",390 WASHINGTON AVENUE,,NUTLEY,NJ,"=""07110""","=""(973)667-9700""",Rev. John Kuebler,Superintendent,mrkuebler.ala@gmail.com,"NOT-FOR-PROFIT"""
"=""04""","=""0049""","=""46A""",Academy  Of Our Lady Of Grace,400 KAMENA STREET,,FAIRVIEW,NJ,"=""07022""",400 Kamena Street,,FAIRVIEW,NJ,"=""07022""","=""(201)945-8300""",Filomena D'Amico,Principal,damico@aolgfairview.org,"NOT-FOR-PROFIT"""
"=""28""","=""0889""","=""19I""",Academy For Children Inc,215 BOULEVARD,,MOUNTAIN LAKES,NJ,"=""07046""",215 BOULEVARD,,MOUNTAIN LAKES,NJ,"=""07046""","=""(973)263-1818""",Marjorie Mccabe-Peacock,"Founder, CEO, President, Sponsor, Director",academyforchildrennj@gmail.com,"NOT-FOR-PROFIT"""
"=""26""","=""1411""","=""21A""","Academy NJ, The",101 Crawford's Corner Rd.,,Holmdel,NJ,"=""07733""",101 Crawford's Corner Rd.,,Holmdel,NJ,"=""07733""","=""(732)8002224""",Ann Gradman,Founder,ann.gradman@theacademynj.org,"FOR-PROFIT"""
"=""04""","=""2001""","=""14P""","Academy of Greatness & Excellence ",114 Mount Vernon St.,,Ridgefield Park,NJ,"=""07660""",114 Mount Vernon St.,,Ridgefield Park,NJ,"=""07660""","=""(201)229-0470 x4""",Iman ElDessouky,Principal,principal@agenj.com,"NOT-FOR-PROFIT"""
"=""04""","=""1766""","=""04E""",Academy of Greatness and Excellence,441 North Street,,TEANECK,NJ,"=""07666""",441 North Street,,Teaneck,NJ,"=""07666""","=""(201)836-2555""",Iman F ElDessouky,PRINCIPAL,principal@agenj.com,"NOT-FOR-PROFIT"""
"=""04""","=""0032""","=""30A""",Academy Of Holy Angels,315 HILLSIDE AVENUE,,DEMAREST,NJ,"=""07627""",315 HILLSIDE AVENUE,,DEMAREST,NJ,"=""07627""","=""(201)768-7822 x202""",Jean Miller,Principal,jmiller@holyangels.org,"NOT-FOR-PROFIT"""
"=""04""","=""0058""","=""54A""",Academy Of Our Lady,180 RODNEY STREET,,GLEN ROCK,NJ,"=""07452""",180 Rodney Street,,GLEN ROCK,NJ,"=""07452""","=""(201)445-0622""",Katharine Clemente,Interim Principal,kclemente@academyofourlady.org,"NOT-FOR-PROFIT"""
"=""04""","=""0158""","=""46B""",Academy Of Our Lady Of Mount Carmel,10 COUNTY ROAD,,TENAFLY,NJ,"=""07670""",10 County Road,,TENAFLY,NJ,"=""07670""","=""(201)567-6491""",Barbara Verdonck,Principal,bverdonck@academyolmc.org,"NOT-FOR-PROFIT"""
"=""40""","=""1242""","=""40L""","Academy Of Our Lady Of Peace, The",99 SOUTH ST,,NEW PROVIDENCE,NJ,"=""07974""",99 South St.,,NEW PROVIDENCE,NJ,"=""07974""","=""(908)464-8657 x4""","Dr. Kelly Hart ",Principal,khart@theacademyolp.org,"NOT-FOR-PROFIT"""
"=""28""","=""0874""","=""04I""",Academy Of Saint Elizabeth,2 CONVENT ROAD,,CONVENT STATION,NJ,"=""07961""",2 CONVENT ROAD,,CONVENT STATION,NJ,"=""07961""","=""(973)290-5200 x5211""",Dr. Beth Azar,Principal,bazar@aose.info,"NOT-FOR-PROFIT"""
"=""04""","=""0124""","=""15B""",Academy of Saint Paul,187 WYCKOFF AVE,,RAMSEY,NJ,"=""07446""",187 Wyckoff Ave.,,RAMSEY,NJ,"=""07446""","=""(201)327-1108""",Dr. Megan Fisher,Principal,mfisher@academyofstpaul.org,"NOT-FOR-PROFIT"""
"=""04""","=""1711""","=""02J""",Academy Of Saut Ul Furqan,250 Hargreaves Ave,,TEANECK,NJ,"=""07666""",250 Hargreaves Ave,,Teaneck,NJ,"=""07666""","=""(201)833-2162""",Omar Chaudhry,Principal,admin@sautulfurqan.org,"NOT-FOR-PROFIT"""
"=""32""","=""1083""","=""92J""",ACADEMY OF ST. JAMES OF THE MARCHES,400 TOTOWA ROAD,,TOTOWA,NJ,"=""07512""",400 Totowa Road,,TOTOWA,NJ,"=""07512""","=""1-973-956-8824""",Lelia D. Pappas,Principal,principal@academyofstjames.org,"NOT-FOR-PROFIT"""
"=""18""","=""0496""","=""58E""",Academy of St. Joseph Of The Palisades,6408 PALISADE AVE,,WEST NEW YORK,NJ,"=""07093""",6408-palisade ave,,WEST NEW YORK,NJ,"=""07093""","=""(201)861-3227""",Lauren Lytle,Principal,llytle@asjpalisades.org,"NOT-FOR-PROFIT"""
"=""04""","=""0053""","=""49A""",Academy Of The Most Blessed Sacrament,785 FRANKLIN LAKE ROAD,,FRANKLIN LAKES,NJ,"=""07417""",785 FRANKLIN LAKE ROAD,18 Saddle Ridge Road,FRANKLIN LAKES,NJ,"=""07417""","=""(201)891-4250""",Mrs. Alycia Manzo,PRINCIPAL,amanzo@rcmbs.org,"NOT-FOR-PROFIT"""
"=""20""","=""0497""","=""59E""",Acorn Montessori School,1222 ROUTE #31,,LEBANON,NJ,"=""08833""",1222 Route #31,,LEBANON,NJ,"=""08833""","=""(908)730-8986""",Joann Letters,Office Manager,joannletters@acornschool.org,"NOT-FOR-PROFIT"""
"=""04""","=""2073""","=""17F""","Acton Academy of Bergen County, Inc.",300 High Street,,Closter,NJ,"=""07624""",30 Trautwein Crescent,,Closter,NJ,"=""07624""","=""650-753-1086""",Michal Leshem,President,actonbergen@gmail.com,"NOT-FOR-PROFIT"""
"=""30""","=""2024""","=""15L""",Aderes Bais Yaakov,2031 Lanes Mill Rd.,,Lakewood,NJ,"=""08701""",2031 Lanes Mill Rd.,,Lakewood,NJ,"=""08701""","=""(732)987-6898""",Rivka Rosenman,secretary,office@aderesmiriam.org,"NOT-FOR-PROFIT"""
"=""32""","=""1685""","=""18L""",AIM Academy,30 Galesi Dr./#103,,Wayne,NJ,"=""07470""",30 Galesi Dr./#103,,Wayne,NJ,"=""07470""","=""(862)290-7681""",Dr. McFadden,Director,icc07055@gmail.com,"NOT-FOR-PROFIT"""
"=""22""","=""0569""","=""26F""",Al Taleem Academy,25 OXFORD STREET,,TRENTON,NJ,"=""08638""",25 OXFORD STREET,,TRENTON,NJ,"=""08638""","=""(609) 695-9900""",Kanwal Cheema,PRINCIPAL,admin@altaleemacademy.org,"NOT-FOR-PROFIT"""
"=""24""","=""2137""","=""25U""",Al-Wali Academy,10 Olsen Ave.,,Edison,NJ,"=""08820""",10 Olsen Ave.,,Edison,NJ,"=""08820""","=""(908)652-9181""",Samah Elshenawy,Principal,principal@alwaliacadmey.org,"NOT-FOR-PROFIT"""
"=""24""","=""0676""","=""24G""",AlBaseerah Academy of Excellence,232 East Front St.,,Plainfield,NJ,"=""07063""",232 East Fron St.,,Plainfield,NJ,"=""07063""","=""(908)500-2706""",Islam Salem,Administrator,islam@albaseerah.org,"NOT-FOR-PROFIT"""
"=""36""","=""1112""","=""19K""","Albrook School, The",361 SOMERVILLE ROAD,,BASKING RIDGE,NJ,"=""07920""",361 Somerville Rd.,,BASKING RIDGE,NJ,"=""07920""","=""908-580 0661x211""",Pauline MacNeill,Head of School,pmacneill@albrookschool.org,"NOT-FOR-PROFIT"""
"=""32""","=""1077""","=""87J""",Alhikmah Elementary (I.E.F),278 NORTH 8TH STREET,,PROSPECT PARK,NJ,"=""07508""",278 NORTH 8TH STREET,,PROSPECT PARK,NJ,"=""07508""","=""9737904700 X 101""",Hayat Jaludi,principal,hjaludi@iefschools.org,"NOT-FOR-PROFIT"""
